1.0 1.E-4   2.8E-5 1.01E-3 7.95E-5
1.1 1.5E-4  4.0E-5 1.3E-3 1.1E-4
1.2 2.1E-4  5.9E-5 1.8E-3 2.0E-4 
1.3 2.9E-4  8.2E-5 2.6E-3 3.0E-4
1.4 3.7E-4  1.0E-4 3.4E-3 4.9E-4
1.5 4.7E-4  1.4E-4 4.5E-3 7.2E-4
1.6 5.7E-4  1.8E-4 5.5E-3 1.2E-3
1.7 7.1E-4  2.4E-4 7.6E-3 1.9E-3
1.8 8.6E-4  3.3E-4 9.5E-3 4.7E-3
1.9 1.0E-3  4.3E-4 1.1E-2 7.8E-3
2.0 1.2E-3  6.3E-4 1.5E-2 1.2E-2
2.1 1.4E-3  1.0E-3 2.0E-2 6.9E-2
2.2 5.4E-4  5.7E-4 8.2E-3 2.E-2
2.3 2.1E-3  9.5E-3 3.1E-2 5.4E-1
2.4 2.0E-3  7.6E-3 2.7E-2 0.485  
2.5 1.3E-3  5.4E-3 2.0E-2 0.338
2.6 1.6E-3  4.2E-3 1.6E-2 0.23
2.7 1.5E-3  3.4E-3 1.3E-2 0.1585
2.8 1.4E-3  3.0E-3 1.1E-2 0.125
2.9 1.3E-3  2.6E-3 9.5E-3 0.0929
3.0 1.3E-3  2.4E-3 8.4E-3 7.5E-2
